time,particle_id,x,y,z,vx,vy,vz,EK
0.176,1,1.01554,0.176093,0,0.176093,0.984463,0,0.500089
0.177,1,1.01571,0.177077,0,0.177077,0.984287,0,0.500089
0.178,1,1.01589,0.178062,0,0.178062,0.98411,0,0.50009
0.179,1,1.01607,0.179046,0,0.179046,0.983932,0,0.50009
0.18,1,1.01625,0.18003,0,0.18003,0.983753,0,0.500091
0.181,1,1.01643,0.181013,0,0.181013,0.983573,0,0.500091
0.182,1,1.01661,0.181997,0,0.181997,0.983392,0,0.500092
0.183,1,1.01679,0.18298,0,0.18298,0.98321,0,0.500092
0.184,1,1.01697,0.183963,0,0.183963,0.983027,0,0.500093
0.185,1,1.01716,0.184947,0,0.184947,0.982843,0,0.500093
0.186,1,1.01734,0.185929,0,0.185929,0.982658,0,0.500094
0.187,1,1.01753,0.186912,0,0.186912,0.982472,0,0.500094
0.188,1,1.01771,0.187894,0,0.187894,0.982285,0,0.500095
0.189,1,1.0179,0.188877,0,0.188877,0.982098,0,0.500095
0.19,1,1.01809,0.189859,0,0.189859,0.981909,0,0.500096
0.191,1,1.01828,0.190841,0,0.190841,0.981719,0,0.500096
0.192,1,1.01847,0.191823,0,0.191823,0.981528,0,0.500097
0.193,1,1.01866,0.192804,0,0.192804,0.981336,0,0.500097
0.194,1,1.01886,0.193785,0,0.193785,0.981143,0,0.500098
0.195,1,1.01905,0.194767,0,0.194767,0.98095,0,0.500098
0.196,1,1.01925,0.195747,0,0.195747,0.980755,0,0.500099
0.197,1,1.01944,0.196728,0,0.196728,0.980559,0,0.500099
0.198,1,1.01964,0.197709,0,0.197709,0.980362,0,0.5001
0.199,1,1.01984,0.198689,0,0.198689,0.980165,0,0.5001
0.2,1,1.02003,0.199669,0,0.199669,0.979966,0,0.500101
0.201,1,1.02023,0.200649,0,0.200649,0.979766,0,0.500101
0.202,1,1.02043,0.201629,0,0.201629,0.979566,0,0.500102
0.203,1,1.02064,0.202609,0,0.202609,0.979364,0,0.500102
0.204,1,1.02084,0.203588,0,0.203588,0.979161,0,0.500103
0.205,1,1.02104,0.204567,0,0.204567,0.978958,0,0.500103
0.206,1,1.02125,0.205546,0,0.205546,0.978753,0,0.500104
0.207,1,1.02145,0.206525,0,0.206525,0.978548,0,0.500104
0.208,1,1.02166,0.207503,0,0.207503,0.978341,0,0.500105
0.209,1,1.02187,0.208482,0,0.208482,0.978134,0,0.500105
0.21,1,1.02207,0.20946,0,0.20946,0.977925,0,0.500106
0.211,1,1.02228,0.210438,0,0.210438,0.977716,0,0.500106
0.212,1,1.02249,0.211415,0,0.211415,0.977505,0,0.500107
0.213,1,1.02271,0.212393,0,0.212393,0.977294,0,0.500107
0.214,1,1.02292,0.21337,0,0.21337,0.977081,0,0.500108
0.215,1,1.02313,0.214347,0,0.214347,0.976868,0,0.500108
0.216,1,1.02335,0.215324,0,0.215324,0.976654,0,0.500109
0.217,1,1.02356,0.216301,0,0.216301,0.976438,0,0.500109
0.218,1,1.02378,0.217277,0,0.217277,0.976222,0,0.50011
0.219,1,1.024,0.218254,0,0.218254,0.976005,0,0.50011
0.22,1,1.02421,0.21923,0,0.21923,0.975787,0,0.500111
0.221,1,1.02443,0.220205,0,0.220205,0.975567,0,0.500111
0.222,1,1.02465,0.221181,0,0.221181,0.975347,0,0.500112
0.223,1,1.02487,0.222156,0,0.222156,0.975126,0,0.500112
0.224,1,1.0251,0.223131,0,0.223131,0.974904,0,0.500113
0.225,1,1.02532,0.224106,0,0.224106,0.974681,0,0.500113
0.226,1,1.02554,0.225081,0,0.225081,0.974457,0,0.500114
0.227,1,1.02577,0.226055,0,0.226055,0.974231,0,0.500114
0.228,1,1.02599,0.22703,0,0.22703,0.974005,0,0.500115
0.229,1,1.02622,0.228004,0,0.228004,0.973778,0,0.500115
0.23,1,1.02645,0.228977,0,0.228977,0.97355,0,0.500116
0.231,1,1.02668,0.229951,0,0.229951,0.973321,0,0.500116
0.232,1,1.02691,0.230924,0,0.230924,0.973091,0,0.500117
0.233,1,1.02714,0.231897,0,0.231897,0.972861,0,0.500117
0.234,1,1.02737,0.23287,0,0.23287,0.972629,0,0.500118
0.235,1,1.0276,0.233843,0,0.233843,0.972396,0,0.500118
0.236,1,1.02784,0.234815,0,0.234815,0.972162,0,0.500119
0.237,1,1.02807,0.235787,0,0.235787,0.971927,0,0.500119
0.238,1,1.02831,0.236759,0,0.236759,0.971691,0,0.50012
0.239,1,1.02855,0.237731,0,0.237731,0.971455,0,0.50012
0.24,1,1.02878,0.238703,0,0.238703,0.971217,0,0.500121
0.241,1,1.02902,0.239674,0,0.239674,0.970978,0,0.500121
0.242,1,1.02926,0.240645,0,0.240645,0.970738,0,0.500122
0.243,1,1.0295,0.241615,0,0.241615,0.970498,0,0.500122
0.244,1,1.02974,0.242586,0,0.242586,0.970256,0,0.500123
0.245,1,1.02999,0.243556,0,0.243556,0.970014,0,0.500123
0.246,1,1.03023,0.244526,0,0.244526,0.96977,0,0.500124
0.247,1,1.03047,0.245496,0,0.245496,0.969526,0,0.500124
0.248,1,1.03072,0.246466,0,0.246466,0.96928,0,0.500125
0.249,1,1.03097,0.247435,0,0.247435,0.969034,0,0.500125
0.25,1,1.03121,0.248404,0,0.248404,0.968786,0,0.500126
0.251,1,1.03146,0.249373,0,0.249373,0.968538,0,0.500126
0.252,1,1.03171,0.250341,0,0.250341,0.968288,0,0.500127
0.253,1,1.03196,0.251309,0,0.251309,0.968038,0,0.500127
0.254,1,1.03221,0.252277,0,0.252277,0.967787,0,0.500128
0.255,1,1.03247,0.253245,0,0.253245,0.967534,0,0.500128
0.256,1,1.03272,0.254213,0,0.254213,0.967281,0,0.500129
0.257,1,1.03297,0.25518,0,0.25518,0.967027,0,0.500129
0.258,1,1.03323,0.256147,0,0.256147,0.966772,0,0.50013
0.259,1,1.03348,0.257114,0,0.257114,0.966516,0,0.50013
0.26,1,1.03374,0.25808,0,0.25808,0.966259,0,0.500131
0.261,1,1.034,0.259047,0,0.259047,0.966,0,0.500131
0.262,1,1.03426,0.260013,0,0.260013,0.965741,0,0.500132
0.263,1,1.03452,0.260978,0,0.260978,0.965481,0,0.500132
0.264,1,1.03478,0.261944,0,0.261944,0.96522,0,0.500133
0.265,1,1.03504,0.262909,0,0.262909,0.964958,0,0.500133
0.266,1,1.0353,0.263874,0,0.263874,0.964696,0,0.500134
0.267,1,1.03557,0.264839,0,0.264839,0.964432,0,0.500134
0.268,1,1.03583,0.265803,0,0.265803,0.964167,0,0.500135
0.269,1,1.0361,0.266767,0,0.266767,0.963901,0,0.500135
0.27,1,1.03637,0.267731,0,0.267731,0.963634,0,0.500136
0.271,1,1.03663,0.268695,0,0.268695,0.963367,0,0.500136
0.272,1,1.0369,0.269658,0,0.269658,0.963098,0,0.500137
0.273,1,1.03717,0.270621,0,0.270621,0.962828,0,0.500137
0.274,1,1.03744,0.271584,0,0.271584,0.962558,0,0.500138
0.275,1,1.03771,0.272547,0,0.272547,0.962286,0,0.500138
0.276,1,1.03799,0.273509,0,0.273509,0.962013,0,0.500139
0.277,1,1.03826,0.274471,0,0.274471,0.96174,0,0.500139
0.278,1,1.03853,0.275433,0,0.275433,0.961465,0,0.50014
0.279,1,1.03881,0.276394,0,0.276394,0.96119,0,0.50014
0.28,1,1.03909,0.277355,0,0.277355,0.960914,0,0.500141
0.281,1,1.03936,0.278316,0,0.278316,0.960636,0,0.500141
0.282,1,1.03964,0.279277,0,0.279277,0.960358,0,0.500142
0.283,1,1.03992,0.280237,0,0.280237,0.960079,0,0.500142
0.284,1,1.0402,0.281197,0,0.281197,0.959798,0,0.500143
0.285,1,1.04048,0.282157,0,0.282157,0.959517,0,0.500143
0.286,1,1.04076,0.283117,0,0.283117,0.959235,0,0.500144
0.287,1,1.04105,0.284076,0,0.284076,0.958952,0,0.500144
0.288,1,1.04133,0.285035,0,0.285035,0.958668,0,0.500145
0.289,1,1.04162,0.285994,0,0.285994,0.958383,0,0.500145
0.29,1,1.0419,0.286952,0,0.286952,0.958097,0,0.500146
0.291,1,1.04219,0.28791,0,0.28791,0.95781,0,0.500146
0.292,1,1.04248,0.288868,0,0.288868,0.957522,0,0.500147
0.293,1,1.04277,0.289825,0,0.289825,0.957233,0,0.500147
0.294,1,1.04306,0.290783,0,0.290783,0.956943,0,0.500148
0.295,1,1.04335,0.29174,0,0.29174,0.956653,0,0.500148
0.296,1,1.04364,0.292696,0,0.292696,0.956361,0,0.500149
0.297,1,1.04393,0.293653,0,0.293653,0.956068,0,0.500149
0.298,1,1.04423,0.294609,0,0.294609,0.955774,0,0.50015
0.299,1,1.04452,0.295564,0,0.295564,0.95548,0,0.50015
0.3,1,1.04482,0.29652,0,0.29652,0.955184,0,0.500151
0.301,1,1.04511,0.297475,0,0.297475,0.954888,0,0.500151
0.302,1,1.04541,0.29843,0,0.29843,0.95459,0,0.500152
0.303,1,1.04571,0.299385,0,0.299385,0.954292,0,0.500152
0.304,1,1.04601,0.300339,0,0.300339,0.953992,0,0.500153
0.305,1,1.04631,0.301293,0,0.301293,0.953692,0,0.500153
0.306,1,1.04661,0.302247,0,0.302247,0.953391,0,0.500154
0.307,1,1.04691,0.3032,0,0.3032,0.953089,0,0.500154
0.308,1,1.04721,0.304153,0,0.304153,0.952785,0,0.500155
0.309,1,1.04752,0.305106,0,0.305106,0.952481,0,0.500155
0.31,1,1.04782,0.306058,0,0.306058,0.952176,0,0.500156
0.311,1,1.04813,0.30701,0,0.30701,0.95187,0,0.500156
0.312,1,1.04844,0.307962,0,0.307962,0.951563,0,0.500157
0.313,1,1.04874,0.308914,0,0.308914,0.951255,0,0.500157
0.314,1,1.04905,0.309865,0,0.309865,0.950946,0,0.500158
0.315,1,1.04936,0.310816,0,0.310816,0.950636,0,0.500158
0.316,1,1.04967,0.311767,0,0.311767,0.950325,0,0.500159
0.317,1,1.04999,0.312717,0,0.312717,0.950014,0,0.500159
0.318,1,1.0503,0.313667,0,0.313667,0.949701,0,0.50016
0.319,1,1.05061,0.314617,0,0.314617,0.949387,0,0.50016
0.32,1,1.05093,0.315566,0,0.315566,0.949073,0,0.500161
0.321,1,1.05124,0.316515,0,0.316515,0.948757,0,0.500161
0.322,1,1.05156,0.317464,0,0.317464,0.948441,0,0.500162
0.323,1,1.05188,0.318412,0,0.318412,0.948123,0,0.500162
0.324,1,1.0522,0.319361,0,0.319361,0.947805,0,0.500163
0.325,1,1.05251,0.320308,0,0.320308,0.947485,0,0.500163
0.326,1,1.05283,0.321256,0,0.321256,0.947165,0,0.500164
0.327,1,1.05316,0.322203,0,0.322203,0.946844,0,0.500164
0.328,1,1.05348,0.32315,0,0.32315,0.946522,0,0.500165
0.329,1,1.0538,0.324096,0,0.324096,0.946198,0,0.500165
0.33,1,1.05413,0.325043,0,0.325043,0.945874,0,0.500166
0.331,1,1.05445,0.325988,0,0.325988,0.945549,0,0.500166
0.332,1,1.05478,0.326934,0,0.326934,0.945223,0,0.500167
0.333,1,1.0551,0.327879,0,0.327879,0.944896,0,0.500167
0.334,1,1.05543,0.328824,0,0.328824,0.944569,0,0.500168
0.335,1,1.05576,0.329769,0,0.329769,0.94424,0,0.500168
0.336,1,1.05609,0.330713,0,0.330713,0.94391,0,0.500169
0.337,1,1.05642,0.331657,0,0.331657,0.943579,0,0.500169
0.338,1,1.05675,0.3326,0,0.3326,0.943248,0,0.50017
0.339,1,1.05709,0.333544,0,0.333544,0.942915,0,0.50017
0.34,1,1.05742,0.334487,0,0.334487,0.942581,0,0.500171
0.341,1,1.05775,0.335429,0,0.335429,0.942247,0,0.500171
0.342,1,1.05809,0.336371,0,0.336371,0.941912,0,0.500172
0.343,1,1.05842,0.337313,0,0.337313,0.941575,0,0.500172
0.344,1,1.05876,0.338255,0,0.338255,0.941238,0,0.500173
0.345,1,1.0591,0.339196,0,0.339196,0.9409,0,0.500173
0.346,1,1.05944,0.340137,0,0.340137,0.94056,0,0.500174
0.347,1,1.05978,0.341078,0,0.341078,0.94022,0,0.500174
0.348,1,1.06012,0.342018,0,0.342018,0.939879,0,0.500175
0.349,1,1.06046,0.342958,0,0.342958,0.939537,0,0.500175
0.35,1,1.06081,0.343897,0,0.343897,0.939194,0,0.500176
0.351,1,1.06115,0.344836,0,0.344836,0.93885,0,0.500176
0.352,1,1.06149,0.345775,0,0.345775,0.938505,0,0.500177
0.353,1,1.06184,0.346714,0,0.346714,0.93816,0,0.500177
0.354,1,1.06219,0.347652,0,0.347652,0.937813,0,0.500178
0.355,1,1.06253,0.34859,0,0.34859,0.937465,0,0.500178
0.356,1,1.06288,0.349527,0,0.349527,0.937117,0,0.500179
0.357,1,1.06323,0.350464,0,0.350464,0.936767,0,0.500179
0.358,1,1.06358,0.351401,0,0.351401,0.936417,0,0.50018
0.359,1,1.06393,0.352338,0,0.352338,0.936065,0,0.50018
0.36,1,1.06429,0.353274,0,0.353274,0.935713,0,0.500181
0.361,1,1.06464,0.354209,0,0.354209,0.93536,0,0.500181
0.362,1,1.06499,0.355145,0,0.355145,0.935006,0,0.500182
0.363,1,1.06535,0.35608,0,0.35608,0.93465,0,0.500182
0.364,1,1.06571,0.357014,0,0.357014,0.934294,0,0.500183
0.365,1,1.06606,0.357949,0,0.357949,0.933937,0,0.500183
0.366,1,1.06642,0.358883,0,0.358883,0.933579,0,0.500184
0.367,1,1.06678,0.359816,0,0.359816,0.93322,0,0.500184
0.368,1,1.06714,0.360749,0,0.360749,0.932861,0,0.500185
0.369,1,1.0675,0.361682,0,0.361682,0.9325,0,0.500185
0.37,1,1.06786,0.362615,0,0.362615,0.932138,0,0.500186
0.371,1,1.06822,0.363547,0,0.363547,0.931776,0,0.500186
0.372,1,1.06859,0.364479,0,0.364479,0.931412,0,0.500187
0.373,1,1.06895,0.36541,0,0.36541,0.931048,0,0.500187
0.374,1,1.06932,0.366341,0,0.366341,0.930682,0,0.500188
0.375,1,1.06968,0.367272,0,0.367272,0.930316,0,0.500188
0.376,1,1.07005,0.368202,0,0.368202,0.929949,0,0.500189
0.377,1,1.07042,0.369132,0,0.369132,0.92958,0,0.500189
0.378,1,1.07079,0.370062,0,0.370062,0.929211,0,0.50019
0.379,1,1.07116,0.370991,0,0.370991,0.928841,0,0.50019
0.38,1,1.07153,0.37192,0,0.37192,0.92847,0,0.500191
0.381,1,1.0719,0.372848,0,0.372848,0.928098,0,0.500191
0.382,1,1.07227,0.373776,0,0.373776,0.927725,0,0.500192
0.383,1,1.07265,0.374704,0,0.374704,0.927352,0,0.500192
0.384,1,1.07302,0.375631,0,0.375631,0.926977,0,0.500193
0.385,1,1.0734,0.376558,0,0.376558,0.926601,0,0.500193
0.386,1,1.07378,0.377485,0,0.377485,0.926225,0,0.500194
0.387,1,1.07415,0.378411,0,0.378411,0.925847,0,0.500194
0.388,1,1.07453,0.379337,0,0.379337,0.925469,0,0.500195
0.389,1,1.07491,0.380262,0,0.380262,0.925089,0,0.500195
0.39,1,1.07529,0.381188,0,0.381188,0.924709,0,0.500196
0.391,1,1.07567,0.382112,0,0.382112,0.924328,0,0.500196
